term,language,definition,categories,target
tynkers,English,An inconsequential person (typically lower class). A Gypsy. In Scotland a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items being also known in the past as travelling tinsmiths. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.,Ethnicity,
tzigane,French,Romani,Ethnicity,Romani
tziganes,French,Romani,Ethnicity,Romani
Ubangee,English,A black person particularly a black woman from the Ubangi people of Africa,Ethnicity,
Ubangees,English,A black person particularly a black woman from the Ubangi people of Africa,Ethnicity,
Ubangi,English,A black person particularly a black woman from the Ubangi people of Africa,Ethnicity,
Ubangis,English,A black person particularly a black woman from the Ubangi people of Africa,Ethnicity,
Überfremdung,German,Literally over-foreignization exessive immigration,Ethnicity,
Überfremdungen,German,Literally over-foreignization exessive immigration,Ethnicity,
ufeffေခြးufeffေကာင္ufeffမ်ား,Burmese,,Gender,Female
ufeffေခြးမမ်ား,Burmese,,Gender,Female
ufeffေစာက္ufeffသုံးမၾကတဲ့ေကာင္မ်ား,Burmese,,Class,
ufeffေတာသားမ်ား,Burmese,,Class,
ulkkari,Finnish,Derogatory form of ulkomaalainen foreigner. Colloquialism of ulkokenttäpelaaja outfielder.,Ethnicity,
ulkkarit,Finnish,Derogatory form of ulkomaalainen foreigner. Colloquialism of ulkokenttäpelaaja outfielder.,Ethnicity,
umlungu,Zulu,An English person.,,
umuzungu,Kinyarwanda,An English person.,Ethnicity,English
uncircumcised baboon,English,A name to call the Luos ethnic group in Kenya,Ethnicity,Luo
uncircumcised baboons,English,A name to call the Luos ethnic group in Kenya,Ethnicity,Luo
Uncle Tom,English,A black person perceived as behaving in a subservient manner to white authority figures. A persons name,Ethnicity,
Uncle Toms,English,A black person perceived as behaving in a subservient manner to white authority figures. A persons name,Ethnicity,
Untermensch,German,Sub-human particularly pertaining to those the Nazis wished to exterminate,Nationality,
Untermenschen,German,Sub-human particularly pertaining to those the Nazis wished to exterminate,Nationality,
uriti ja Mutigania wa wa Kunati,Tharaka,Tharaka slur for people from Tigania meaning foolish like Tigania from Kunati.,Ethnicity,
uskikset,Finnish,Derogatory form of uskovainen a believer. Usually targets christians.,Religion,Christianity
uskis,Finnish,Derogatory form of uskovainen a believer. Usually targets christians.,Religion,Christianity
ustasa,Bosnian,Member of Croatian fascist movement Derogatory term for Croatian of Catholic christian faith,Nationality,Croatia
utvecklingsstörd,Swedish,Retarded,Disability,
uzko glaziye,Russian,A person of Asian ancestry meaning thin eyed,Ethnicity,
vacă,Romanian,A lazy woman A cow,Gender,Female
vacca,Italian,A woman A cow,Gender,Female
vacche,Italian,A woman A cow,Gender,Female
vaci,Romanian,A lazy woman A cow,Gender,Female
vacii,Romanian,A lazy woman A cow,Gender,Female
vacile,Romanian,A lazy woman A cow,Gender,Female
vacilor,Romanian,A lazy woman A cow,Gender,Female
vaco,Romanian,A lazy woman A cow,Gender,Female
vajaamielinen,Finnish,Mentally defective,Disability,
vajaamieliset,Finnish,Mentally defective,Disability,
vajakit,Finnish,Retard,Disability,
vajakki,Finnish,Retard,Disability,
vammainen,Finnish,Retarded (adj.)r Retard (noun) Disabled person,Disability,
vammanen,Finnish,Retarded (adj.)r Retard (noun) Disabled person,Disability,
vammaset,Finnish,Retarded (adj.)r Retard (noun) Disabled person,Disability,
varungu,Shona,An English person.,,
Velcro head,English,A black person (referencing stereotypical hair type).,Ethnicity,
Velcro heads,English,A black person (referencing stereotypical hair type).,Ethnicity,
velvet mafia,English,,Sexual Orientation,Homosexual
veshyaa,Hindi,,Gender,Female
veśyā,Hindi,,Gender,Female
veśyāẽ,Hindi,,Gender,Female
veśyāo,Hindi,,Gender,Female
veśyāon,Hindi,,Gender,Female
Viado,Portuguese,A male homosexual,Ethnicity,Homosexual
vinosilmä,Finnish,Slant. Derogatory term for an Asian person with slanted eyes.,Ethnicity,Asian
vinosilmät,Finnish,Slant. Derogatory term for an Asian person with slanted eyes.,Ethnicity,Asian
virago,English,A masculine woman,Gender,Female
vlah,Bosnian,Derogative term for Serbian national of orthodox christian faith Derogative term for Croatian national of catholic christian faith,Nationality,Serbia
vo giao duc,Vietnamese,An uneducated person,Class,
vyabhicāriṇī,Hindi,,Gender,Female
vyabhichaarinee,Hindi,,Gender,Female
wagon burner,English,A Native American person.,Ethnicity,
wagon burners,English,A Native American person.,Ethnicity,
wandu,Indonesian,Homosexual,Sexual Orientation,Homosexual
wanita jalang,Indonesian,Bitch,Gender,Female
wanita pelacur,Indonesian,,Gender,Female
wanita tunasusila,Indonesian,Prostitute,Gender,Female
wapanese,English,A white person who is acting like a Japanese person,Ethnicity,Japanese
WASP,English,Acronym for White Anglo-Saxton Protestant and often synonymous with rectitude. An insect,Ethnicity,Christianity
WASPs,English,Acronym for White Anglo-Saxton Protestant and often synonymous with rectitude. An insect,Ethnicity,Christianity
WASPy,English,Having the stereotypical characteristics of a white anglo-saxon protestant,Ethnicity,European
Wasserpolacke,German,A Polish person from Upper Silesia literally water Pole,Nationality,Poland
Wasserpolacken,German,A Polish person from Upper Silesia literally water Pole,Nationality,Poland
Wasserpolackin,German,A Polish person from Upper Silesia literally water Pole,Nationality,Poland
wazungu,Swahili,Literally means foreigner but predominantly used in Swahili-speaking countries (particularly Kenya and Tanzania) to refer to white people. Very common since white people are still a curiosity in many parts of these countries and usually not intended to be offensive but sometimes used in a pejorative manner. Similar usage to faranji in Amharic.,Ethnicity,Swahili
wegro,English,A white person who is acting like a black person,Ethnicity,European
wegroes,English,A white person who is acting like a black person,Ethnicity,European
Weltjudentum,German,Referring to a global cabal of Jews that supposedly run the world,Ethnicity,Jews
wetback,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
wetbacks,English,A person of Latino descent particularly a Mexican migrant laborer.,Ethnicity,
wexican,English,A person of mixed Caucasian and Mexican parentage.,Nationality,Mexico
wexicans,English,A person of mixed Caucasian and Mexican parentage.,Nationality,Mexico
whigga,English,A white person who is acting like a black person,Ethnicity,European
whiggas,English,A white person who is acting like a black person,Ethnicity,European
whigger,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
whiggers,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
white chocolate,English,A Caucasian trying to act black. A black person trying to act Caucasian. A chocolate derivative,Ethnicity,
white nigger,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
white niggers,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
white trash,English,A Caucasian of low class or limited income.,Ethnicity,
whitey,English,A Caucasian.,Ethnicity,
whitie,English,A Caucasian.,Ethnicity,European
whities,English,A Caucasian.,Ethnicity,
whore,English,A prostitute or promiscuous individual,Gender,Female
whores,English,A prostitute or promiscuous individual,Gender,Female
whoriental,English,An Asian woman (or less often a man) who is promiscuous.,Ethnicity,Asian
whorientals,English,,Ethnicity,Asian
WIC,English,Acronym for White Irish Catholic.,Ethnicity,Irish
WICs,English,Acronym for White Irish Catholic.,Ethnicity,Irish
wietnamca,Polish,,Nationality,Vietnam
wietnamców,Polish,,Nationality,Vietnam
wietnamcy,Polish,,Nationality,Vietnam
wietnamiec,Polish,Equivalent of gook,Ethnicity,Vietnamese
wigga,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
wiggas,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
wigger,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
wiggerette,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
wiggerettes,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
wiggers,English,Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style mannerisms and slang speech. The w at the start of wigger refers to the white person and the igger refers to nigger which is a racial slur for black people. Also used by radical Quebecois in self-reference as in the seminal 1968 book White Niggers of America.,Nationality,Ireland
wink,English,A Caucasian who emulates or associates with Chinese people. A deliberate blink of one eye,Ethnicity,Chinese
winks,English,A Caucasian who emulates or associates with Chinese people. A deliberate blink of one eye,Ethnicity,Chinese
Wirtschaftsflüchtling,German,Referring to Refugees who flee into the social security system of a Nation. Often used to hint that they are not real Refugees,Class,
wog,English,A swarthy or dark-skinned foreigner. Possibly derived from golliwogg In Britain it usually refers to dark skinned people from Asia or Africa though some use the term to refer to anyone outside the borders of their own country. In Australia the term wog is usually used to refer to Mediterranean Europeans (Spaniards Italians and Greeks) although it can be used for some Eastern Europeans particularly those of the Balkans (Bosnians Macedonians Serbians Croatians or Albanians).,Nationality,Albania
wogs,English,A swarthy or dark-skinned foreigner. Possibly derived from golliwogg In Britain it usually refers to dark skinned people from Asia or Africa though some use the term to refer to anyone outside the borders of their own country. In Australia the term wog is usually used to refer to Mediterranean Europeans (Spaniards Italians and Greeks) although it can be used for some Eastern Europeans particularly those of the Balkans (Bosnians Macedonians Serbians Croatians or Albanians).,Nationality,Albania
wop,English,A person of Italian descent derived from the Italian dialectism guappo close to dude swaggerer and other informal appellations a greeting among male Neapolitans.,Nationality,Italy
wops,English,A person of Italian descent derived from the Italian dialectism guappo close to dude swaggerer and other informal appellations a greeting among male Neapolitans.,Nationality,Italy
wopspeak,English,The Italian language,Ethnicity,Italian
yam yam,Dinka,Used by Dinkas and Nuer in South Sudan to refer to Equatorians,Ethnicity,Equatorian
yamiris,Hausa,A cheat or cunning person. Used by Hausa people against the Igbo or others in southeastern Nigeria.,Ethnicity,Hausa
Yank,English,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees (John Cheese) meaning Englishman. Pull,Nationality,United States
Yankee,English,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees (John Cheese) meaning Englishman.,Nationality,United States
Yankees,English,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees (John Cheese) meaning Englishman.,Nationality,United States
Yankī,Japanese,An American,Nationality,United States
Yanks,English,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees (John Cheese) meaning Englishman. Pull,Nationality,United States
yanmiri,Hausa,A cheat or cunning person. Used by Hausa people against the Igbo or others in southeastern Nigeria.,Ethnicity,Hausa
yard ape,English,A black person,Ethnicity,African American
yard apes,English,A black person,Ethnicity,African American
yardie,English,A person from Jamaica sometimes derogatory referring to gang membership or low economic status. In the UK can be used broadly to denote a black person with gang association and/or engaging in criminal behavior.,Nationality,Jamaica
yardies,English,A person from Jamaica sometimes derogatory referring to gang membership or low economic status. In the UK can be used broadly to denote a black person with gang association and/or engaging in criminal behavior.,Nationality,Jamaica
yay myaw kan tin,Burmese,Rohingya translated as trash floating along the river of unknown origin,Ethnicity,Rohingya
yellow,English,A person of Asian descent. A color,Ethnicity,
yellow bone,English,A black female with light skin. A black female of mixed heritage.,Ethnicity,
yellow bones,English,A black female with light skin. A black female of mixed heritage.,Ethnicity,
yellow cab,English,,Nationality,Japan
yellow cabs,English,,Nationality,Japan
yellow invader,English,Accusative term for refugees or immigrants from Asia,Ethnicity,Asian
yellow invaders,English,Accusative term for refugees or immigrants from Asia,Ethnicity,Asian
yellowhammer,English,A person from Alabama,Nationality,United States
yellows,English,A person of Asian descent. A color,Ethnicity,
yid,English,A Jewish person although it is an endonym among Yiddish-speaking Jews. (The term is also used positively in Britain for Tottenham Hotspur fans (often proudly by themselves for example calling themselves the Yid Army) which includes a large Jewish supporting base from north-east London.),Ethnicity,Jews
yids,English,A Jewish person although it is an endonym among Yiddish-speaking Jews. (The term is also used positively in Britain for Tottenham Hotspur fans (often proudly by themselves for example calling themselves the Yid Army) which includes a large Jewish supporting base from north-east London.),Ethnicity,Jews
yob,English,In the UK Australia or New Zealand an unsophisticated antisocial drunken and/or lower class person,Class,
yobbo,English,In the UK Australia or New Zealand an unsophisticated antisocial drunken and/or lower class person,Class,
yobbos,English,In the UK Australia or New Zealand an unsophisticated antisocial drunken and/or lower class person,Class,
yobs,English,In the UK Australia or New Zealand an unsophisticated antisocial drunken and/or lower class person,Class,
yokel,English,A rural person.,Ethnicity,
yokels,English,A rural person.,Ethnicity,
yom,Italian,Italian word for a black person from eggplant.,Ethnicity,Italian
youd,French,French equivalent of yid,Ethnicity,Jews
youds,French,French equivalent of yid,Ethnicity,Jews
youn,Khmer (Central),Derogatory when speaking of ethnic Vietnamese minority. More derogatory when prefixed with a like a youn.,Ethnicity,Vietnamese
youpin,French,A derogatory term for a Jewish person,Ethnicity,Jews
youpinerie,French,Perjorative meaning where Jewish people live,Ethnicity,Jews
youpins,French,A derogatory term for a Jewish person,Ethnicity,Jews
yuon,Khmer (Central),Vietnamese person in Khmer. Considered derogatory.,Ethnicity,Khmer
yuvatee jise raeesa aadamee tohaphe aadi dekara khusha rakhe,Hindi,,Gender,Female
yuvatī jisē raīsa ādamī tōhaphē ādi dēkara khuśa rakhē,Hindi,,Gender,Female
żabojad,Polish,Frog eater slur against the French,Nationality,France
żabojady,Polish,,Nationality,France
zainichi,Japanese,(especially korean) foreigners resident in Japan,Nationality,Korea (Democratic Peoples Republic Of)
zambaggoa,Spanish,A person of mixed indigenous and African parentage.,Nationality,
zambo,Spanish,A person of mixed indigenous and African parentage.,Nationality,
zână,Romanian,A homosexual A fairy,Sexual Orientation,Homosexual
zandneger,Dutch,,Nationality,Morocco
zâne,Romanian,A homosexual A fairy,Sexual Orientation,Homosexual
zânei,Romanian,A homosexual A fairy,Sexual Orientation,Homosexual
zânele,Romanian,A homosexual A fairy,Sexual Orientation,Homosexual
zânelor,Romanian,A homosexual A fairy,Sexual Orientation,Homosexual
zâno,Romanian,A homosexual A fairy,Sexual Orientation,Homosexual
zebra,English,A person of mixed Caucasian and black parentage. A mammal,Ethnicity,
zebras,English,A person of mixed Caucasian and black parentage. A mammal,Ethnicity,
zenci,Turkish,Equivalent of nigger,Ethnicity,African American
zenciler,Turkish,,Ethnicity,African American
zhid,English,,Ethnicity,Jews
zhidovka,English,,Ethnicity,Jews
zhyd,English,,Ethnicity,Jews
zhydovka,English,,Ethnicity,Jews
Ziegenficker,German,Insult to Muslims that they are having sex with goats,Religion,Islam
Ziegenfickers,German,Literally a goat fucker applied to those from the Middle East or North Africa,Ethnicity,Arabs
zigabo,English,A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo meaning meek or servile.,Ethnicity,
zigabos,English,A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo meaning meek or servile.,Ethnicity,
zigana,Italian,A Romani person especially from Hungary,Ethnicity,Romani
zigane,Italian,A Romani person especially from Hungary,Ethnicity,Romani
zigani,Italian,A Romani person especially from Hungary,Ethnicity,Romani
zigano,Italian,A Romani person especially from Hungary,Ethnicity,Romani
zigeuner,German,Gypsy,Ethnicity,
ziggis,Swedish,Equivalent of gypsy,Ethnicity,Romani
ziggisar,Swedish,Equivalent of gypsy,Ethnicity,Romani
ziggisarna,Swedish,Equivalent of gypsy,Ethnicity,Romani
ziggisarnas,Swedish,Equivalent of gypsy,Ethnicity,Romani
ziggisen,Swedish,Equivalent of gypsy,Ethnicity,Romani
ziggisens,Swedish,Equivalent of gypsy,Ethnicity,Romani
Zimbi,Hausa,A person from Zimbabwe,Nationality,Zimbabwe
zingani,Italian,A Romani person An unkempt person,Ethnicity,Romani
zingano,Italian,A Romani person An unkempt person,Ethnicity,Romani
zingara,Italian,A Romani person An unkempt person,Ethnicity,Romani
zingare,Italian,A Romani person An unkempt person,Ethnicity,Romani
zingari,Italian,A Romani person An unkempt person,Ethnicity,Romani
zingaro,Italian,A Romani person An unkempt person,Ethnicity,Romani
zingaro di merda,Italian,Roma literally Gypsy piece of shit,Ethnicity,
Zio,English,Turns the term Zionist (a supporter of Jewish national liberation) into a slur against Jews.,Nationality,Israel
ziojew,English,Derogatory term for a Jewish zionist or those being accused of such,Ethnicity,Judaism
ziojews,English,Derogatory term for a Jewish zionist or those being accused of such,Ethnicity,Judaism
Zionazi,English,Contraction of Zionist and Nazi making a false comparison between Jews who support Israels right to exist and Nazis.,Nationality,Israel
Zionazis,English,A Jew living in Israel,Nationality,Israel
zip,English,An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon Apocalypse Now Full Metal Jacket and Gran Torino. The phrase zips in the wire from Platoon has also been used outside of this context. 1 Go quickly 2 A fastener on an article of clothing,Ethnicity,Korean
zipperhead,English,An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon Apocalypse Now Full Metal Jacket and Gran Torino. The phrase zips in the wire from Platoon has also been used outside of this context.,Ethnicity,Korean
zipperheads,English,An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon Apocalypse Now Full Metal Jacket and Gran Torino. The phrase zips in the wire from Platoon has also been used outside of this context.,Ethnicity,Korean
zippohead,English,An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon Apocalypse Now Full Metal Jacket and Gran Torino. The phrase zips in the wire from Platoon has also been used outside of this context.,Ethnicity,Korean
zippoheads,English,An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon Apocalypse Now Full Metal Jacket and Gran Torino. The phrase zips in the wire from Platoon has also been used outside of this context.,Ethnicity,Korean
zips,English,An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon Apocalypse Now Full Metal Jacket and Gran Torino. The phrase zips in the wire from Platoon has also been used outside of this context. 1 Go quickly 2 A fastener on an article of clothing,Ethnicity,Korean
zmrd,Slovak,fucker,Gender,
zoccola,Italian,A human female A female dog,Gender,Female
ZOG,English,Zionist Occupation Government an organization hypothesized by white supremacists to rule the world.,Ethnicity,
ZOG lover,English,Used by white supremacists to denote one who is subservient to Jewish people.,Ethnicity,
ZOG lovers,English,Used by white supremacists to denote one who is subservient to Jewish people.,Ethnicity,
żółtek,Polish,Equivalent of chink,Nationality,China
żółtka,Polish,,Nationality,China
żółtki,Polish,,Nationality,China
żółtków,Polish,,Nationality,China
zorra,Spanish,mujer facil (a woman of loose morals),Gender,Female
Zwitter,German,A trans person An organism which is both male and female,Gender,Transgender
żydek,Polish,Polish equivalent of kike,Ethnicity,Jews
żydka,Polish,,Ethnicity,Jews
żydki,Polish,Polish equivalent of kike,Nationality,Israel
żydków,Polish,,Ethnicity,Jews
żydzie,Polish,żydzie is the vocativus case of the noun żyd - a Jewish person. When used in vocativus it attributes pejorative antisemitic stereotypes (greed filth etc.) regardless of ethnicity. Jewish person called in vocativus,Nationality,Israel
го́пник,Russian,A lower class young man,Class,
жид,Russian,A Jewish man,Ethnicity,Jews
жидовка,Russian,A Jewish woman,Ethnicity,Jews
каца́п,Ukrainian,A Russian,Nationality,Russian Federation
каца́пи,Ukrainian,,Nationality,Russian Federation
Нож жица Сребреница,Serbian,The Knife The Barbed Wire Srebrenica refers to the Srebrenica massacre of Bosniaks during the Bosnian War,Nationality,Bosnia And Herzegovina
різун,Polish,A Ukrainian A murderer,Nationality,Ukraine
Србе на врбе,Croatian,Hang Serbs from the willow trees used by Croatian neo-Nazis against Serb refugees,Nationality,Serbia
чернилница,Russian,A Caucasian woman who sleeps with datk-skinned men inkpot,Ethnicity,African
чернильница,Russian,A Caucasian woman who sleeps with dark-skinned men inkpot,Ethnicity,African
გოთვერანი,Georgian,A homosexual An immoral person,Sexual Orientation,Homosexual
გოთვერნები,Georgian,,Sexual Orientation,Homosexual
գյոթ,Armenian,,Sexual Orientation,Homosexual
գյոթվերան,Armenian,A homosexual Generic insult e.g. motherfucker,Sexual Orientation,Homosexual
זונה,Hebrew,Whore,Gender,Female
כושי,Hebrew,A person of east African descent from Cush (modern day Ethiopia or Sudan). Any black African.,Ethnicity,African
כלבה,Hebrew,Bitch,Gender,Female
מוות לערבים,Hebrew,Death to the Arabs,Ethnicity,Arabs
ערבוש,Hebrew,Arabs derived from Hebrew Aravi (Arab) which is itself non-offensive,Ethnicity,Arabs
ערבי מסריח,Hebrew,Stinky Arab,Ethnicity,Arabs
ערסu200e `ars,Hebrew,A lower class young man,Ethnicity,Mizrahi
פרחה,Arabic,A lower class young person,Class,
שרמוט,Hebrew,Whore,Gender,Female
احول,Arabic,People say this word to demean of people with physical disability (cross-eyed persons),Disability,
اعرج,Arabic,People say this word to demean of people with physical disability (lame persons),Disability,
اعور,Arabic,People say this word to demean of people with physical disability ( one-eyed persons),Disability,
الشرقية,Arabic,Demeaning term used to refer to people from the eastern region of Libya; used to convey backwardness or savagery Eastern,Nationality,Libya
بسكلته,Arabic,Gay or bisexual,Gender,Bigender
تازی,Persian,An Arab,Ethnicity,Arabs
تازیu200cهاu200e,Persian,An Arab,Ethnicity,Arabs
تازیانu200e,Persian,An Arab,Ethnicity,Arabs
جاميكا,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
جربوع,Arabic,People say this word to describe poor people,Class,
جهود,Persian,A Jew,Ethnicity,Jews
جهودان,Persian,A Jew,Ethnicity,Jews
خنزير,Arabic,people say this word to make laugh of Christian,Religion,Christianity
خنفس,Arabic,people say this word as explanation for men who dont act same as their definition for manhood its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Male
خول,Arabic,Gay and/or people say this word as explanation for men who dont act same as their definition for manhood or masculinity its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Male
دبلة,Arabic,Gay or bisexual,Gender,Bigender
دماغه مفوتة,Arabic,People say this word to demean of people with mental illness,Disability,
رايحة منه,Arabic,People say this word to demean of people with mental illness,Disability,
رجل ونص,Arabic,People say this word to demean of people with physical disability (lame persons),Disability,
رنڈی,Urdu,Whore,Gender,Female
رنڈیاںu200e,Urdu,,Gender,Female
رنڈیوu200e,Urdu,,Gender,Female
رنڈیوںu200e,Urdu,,Gender,Female
رنډيوu200e,Pashto,,Gender,Female
رنډۍ,Pashto,Whore,Gender,Female
ريشة,Arabic,people say this word to make laugh of Christian,Religion,Christianity
زنجي,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
سمارة,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
سوسمارخور,Persian,An Arab. Translates as lizard eater.,Ethnicity,Arabs
سوسمارخورانu200e,Persian,An Arab. Translates as lizard eater.,Ethnicity,Arabs
سوسمارخورها,Persian,An Arab. Translates as lizard eater.,Ethnicity,Arabs
سيس,Arabic,people say this word as explanation for men who dont act same as their definition for manhood its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Male
شاذ,Arabic,Gay and/or people say this word as explanation for men who dont act same as their definition for manhood or masculinity its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Male
شبع من بعد جوع,Arabic,People say this word to describe rich people who were poor in the past,Class,
شحات,Arabic,People say this word to describe poor people,Class,
شرموطة,Arabic,People say this word as judgmental word on men or women behavior which does not match their opinion,Gender,Female
شمال,Arabic,A female with bad reputation; mainly for engaging in sexual behavior with men often multiple men. North (direction)rLeft (direction),Gender,Female
شوكلاتة,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
طري,Arabic,people say this word as explanation for men who dont act same as their definition for manhood its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Male
عَاهِرَات,Arabic,Whore,Gender,Female
عاهرة,Arabic,Whore,Gender,Female
عبد,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
عثمان,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
عجلة,Arabic,Gay or bisexual,Gender,Bigender
عرصu200e,Arabic,A lower class young person,Class,
عَوَاهِر,Arabic,Whore,Gender,Female
غرباوي,Arabic,Derogatory term used to describe people from the western region of Libya; used to denote weakness and cowardice Western,Nationality,Libya
فافي,Arabic,people say this word as explanation for men who raised up in a luxury life,Class,
فرفور,Arabic,people say this word as explanation for men who raised up in a luxury life,Class,
فيشة,Arabic,Gay or bisexual,Gender,Bigender
قادیانی,Arabic,Pejorative term for Ahmadi Muslims,Ethnicity,
قِحَاب,Arabic,In Moroccan Arabic refers to a prostitute or whore An old woman,Gender,Female
قحبة,Arabic,In Moroccan Arabic refers to a prostitute or whore An old woman,Gender,Female
كفتس,Arabic,people say this word to make laugh of Christian,Religion,Christianity
متسول,Arabic,People say this word to describe poor people,Class,
مجوس,Arabic,A Zoroastrian meaning fire worshipper,Religion,Zoroastrianism
مخه ضارب,Arabic,People say this word to demean of people with mental illness,Disability,
مدعي الفقر,Arabic,People say this word to describe poor people,Class,
مسترجلة,Arabic,people say this word as explanation for women who dont act same as their definition for femininity or act as men,Gender,Female
معوق,Arabic,People say this word to demean of people with any type of disability,Disability,
منسون,Arabic,people say this word as explanation for men who dont act same as their definition for masculinity or act as a woman its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Male
مُومِساتu200e,Arabic,Prostitute or hooker,Gender,Female
مُومِسَة,Arabic,Prostitute or hooker,Gender,Female
میرزاu200e,Persian,Pejorative term for Ahmadi Muslims,Ethnicity,
ني,Arabic,Gay and/or people say this word as explanation for men who dont act same as their definition for manhood or masculinity its a common word/insult among people as indication for men who are not same as their definition or perception about manhood,Gender,Homosexual
يا اسود الوجه,Arabic,People say this word to demean people with dark skin,Ethnicity,Nubian
ياواد يابت,Arabic,Gay or bisexual,Gender,Male
अनाड़ी,Hindi,An unsophisticated or rural person,Class,
अब्बा का नाम,Hindi,An immoral woman,Gender,Female
